"X"	"Zillow_Home_ID"	"Current_Price"	"Price_Each_SQFT"	"Price_History"	"Tax_History"	"URL"	"Address"	"Zip_Code"	"Neighborhood"	"School"	"Lot_Size"	"Floor_Size"	"MLS_Number"	"Parcel_Number"	"Stories"	"Built_Year"	"Last_Remodel_Year"	"House_Type"	"Structure_Type"	"Bath_Num"	"Bed_Num"	"Room_Num"
"22"	22	44415531	"1,55,000"	111	"12/11/16_Price_change_155,000_110_Watson_Realty;06/03/16_Listed_for_sale_150,000_107_KELLER_WILLIAM;05/04/15_Sold_68,000-503%_48;Public_Record"	NA	"https://www.zillow.com/homedetails/44415531_zpid/"	"2039FirestoneRd,Jacksonville,FL32210"	"32210"	"HydePark"	"1_HydeGroveElementary_PK-5_0.5mi;2_LakeShoreMiddle_6-8_2.5mi;3_EdwardH.WhiteHigh_9-12_0.6mi"	"10,350"	"1,400"	"858443"	116270600	1	1976	1976	"SingleFamily"	"Ranch"	"2"	"3"	NA
"23"	23	44500351	"2,39,500"	125	NA	"2015_1,555_121,315;2014_1,556_120,353;2013_1,530_118,575"	"https://www.zillow.com/homedetails/44500351_zpid/"	"5400WaterOakLnUNIT405,Jacksonville,FL32210"	"32210"	"Venetia"	"10_JohnStocktonElementary_K-5_0.7mi;2_LakeShoreMiddle_6-8_2.2mi;3_RobertE.LeeHigh_9-12_3.6mi"	NA	"1,912"	"846990"	1021531228	2	1985	1985	"Condo"	"Splitlevel"	"3"	"3"	9
"24"	24	109746030	"2,83,000"	136	"03/14/17_Price_change_283,000_136_Fleming_Island;02/28/17_Price_change_288,000_138_Fleming_Island;02/15/17_Price_change_293,000_141_Fleming_Island"	NA	"https://www.zillow.com/homedetails/109746030_zpid/"	"1065EmilysWalkLnE,Jacksonville,FL32221"	"32221"	"CrystalSprings"	"5_CrystalSpringsElementary_PK-5_0.4mi;3_JosephStilwellMiddle_6-8_1.5mi;3_EdwardH.WhiteHigh_9-12_2.4mi"	"0.55"	"2,078"	"847875"	88711270	1	2015	2015	"SingleFamily"	NA	"2"	"3"	NA
"25"	25	44483419	"9,25,000"	223	"03/10/17_Price_change_925,000_223_Manormor_Sothe;01/01/17_Price_change_950,000_229_Manormor_Sothe;12/18/16_Price_change_965,000_233_Manormor_Sothe"	"2015_3,622_221,081;2014_3,628_219,327;2013_3,584_216,086"	"https://www.zillow.com/homedetails/44483419_zpid/"	"4004CordovaAve,Jacksonville,FL32207"	"32207"	"Miramar"	"9_HendricksAvenueElementary_K-5_0.8mi;5_AlfredI.DupontMiddle_6-8_2.7mi;4_SamuelW.WolfsonHigh_9-12_3.5mi"	"0.26"	"4,140"	"813520"	831520000	2	1937	2010	"SingleFamily"	"Tudor"	"4"	"5"	NA
"26"	26	44483433	"4,82,000"	177	"02/16/17_Price_change_482,000;12/03/16_Price_change_482,500;11/25/16_Price_change_485,000"	"2015_7,282_374,207;2014_6,253_356,787;2013_6,183_351,515"	"https://www.zillow.com/homedetails/44483433_zpid/"	"4014BarcelonaAve,Jacksonville,FL32207"	"32207"	"Miramar"	"9_HendricksAvenueElementary_K-5_0.7mi;5_AlfredI.DupontMiddle_6-8_2.6mi;4_SamuelW.WolfsonHigh_9-12_3.5mi"	"10,800"	"2,721"	"867407"	831650000	1	1949	1995	"SingleFamily"	"Other"	"2"	"2"	NA
"27"	27	44501135	"72,500"	33	"03/20/17_Listed_for_sale_72,500-127%_33_CENTURY_21_ATK;01/19/17_Listing_removed_--_--_Auctioncom;12/20/16_Listed_for_sale_--_--_Auctioncom"	"2008_1,233_113,260_--;2007_1,403_113,260;2006_1,391_101,515"	"https://www.zillow.com/homedetails/44501135_zpid/"	"6126WilsonBlvd,Jacksonville,FL32210"	"32210"	"CedarHillsEstate"	"2_StonewallJacksonElementary_K-5_0.1mi;2_J.E.B.StuartMiddle_6-8_1.0mi;3_EdwardH.WhiteHigh_9-12_2.0mi"	"0.46"	"2,175"	"872436"	1029830010	NA	1913	NA	"SingleFamily"	NA	"2"	"3"	NA
"28"	28	44465504	"48,500"	40	NA	"2015_249_26,964;2014_424_36,136;2013_415_35,602"	"https://www.zillow.com/homedetails/44465504_zpid/"	"209WillowBranchAve,Jacksonville,FL32254"	"32254"	"Lackawanna"	"2_RuthN.UpsonElementary_PK-5_1.6mi;3_RobertE.LeeHigh_9-12_1.3mi;10_JamesWeldonJohnsonCollegePrepartory..._6-8_1.7mi"	"5,000"	"1,226"	"872695"	565820010	1	1920	2005	"SingleFamily"	"Modern"	NA	"2"	8
"29"	29	2094894547	"3,49,900"	159	"03/21/17_Coming_Soon_349,900_159_Agent"	NA	"https://www.zillow.com/homedetails/2094894547_zpid/"	"1537NaldoAve,Jacksonville,FL32207"	"32207"	"SanMarco"	"9_HendricksAvenueElementary_K-5_1.3mi;5_AlfredI.DupontMiddle_6-8_3.9mi;4_SamuelW.WolfsonHigh_9-12_4.5mi"	NA	"2,200"	NA	NA	2	1926	2016	"SingleFamily"	NA	"4"	"4"	NA
"30"	30	44496080	"59,900"	40	"03/22/17_Listed_for_sale_59,900_40_EXPLORE_REALTY;03/26/15_Sold_25,600_17;Public_Record;01/09/14_Sold:_Foreclosed_to_lender_5,100-951%_3;Public_Record"	NA	"https://www.zillow.com/homedetails/44496080_zpid/"	"7178CypressCoveRd#25,Jacksonville,FL32244"	"32244"	"Duclay"	"1_SadieT.TillisElementary_K-5_0.7mi;2_J.E.B.StuartMiddle_6-8_2.5mi;2_NathanB.ForrestHigh_9-12_2.4mi"	NA	"1,490"	"872779"	990115053	2	1976	NA	"Condo"	NA	"2"	"2"	NA
"31"	31	44420522	"1,09,900"	70	NA	NA	"https://www.zillow.com/homedetails/44420522_zpid/"	"6343FedorCt,Jacksonville,FL32244"	"32244"	"JacksonvilleHeights"	"2_JacksonvilleHeightsElementary_K-5_0.4mi;2_JeffersonDavisMiddle_6-8_1.7mi;2_NathanB.ForrestHigh_9-12_1.1mi"	NA	"1,566"	"872598"	146032435	NA	1987	NA	"SingleFamily"	NA	"2"	"3"	NA
"32"	32	44418965	"61,000"	51	NA	"2015_675_24,553;2014_607_22,321;2013_590_21,315"	"https://www.zillow.com/homedetails/44418965_zpid/"	"7656MelissaCtN,Jacksonville,FL32210"	"32210"	"JacksonvilleHeights"	"3_GregoryDriveElementary_K-5_0.3mi;2_JeffersonDavisMiddle_6-8_0.9mi;2_NathanB.ForrestHigh_9-12_0.9mi"	NA	"1,193"	"872595"	138610454	NA	1986	NA	"SingleFamily"	NA	"2"	"3"	NA
"33"	33	71042376	"20052:50:333:200940,000"	NA	NA	"2015_65_27,864;2014_62_27,643;2013_54_27,235"	"https://www.zillow.com/homedetails/71042376_zpid/"	"6094MaggiesCirUNIT111,Jacksonville,FL32244"	"32244"	"OakHill"	"1_SadieT.TillisElementary_K-5_0.4mi;2_J.E.B.StuartMiddle_6-8_1.5mi;2_NathanB.ForrestHigh_9-12_1.7mi"	NA	"907"	NA	982520472	NA	2005	NA	"Condo"	NA	"2"	"2"	NA
"34"	34	NA	NA	NA	NA	NA	"https://www.zillow.com/homedetails/126586221_zpid/"	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
